,0,1,2,3,4,5,6,7,8
0,1.0,0.423,0.229,0.525,0.306,0.26,0.324,0.108,0.0
1,0.745,0.386,0.157,0.65,0.504,0.201,0.128,0.163,0.0
2,0.316,0.205,0.411,0.504,0.359,0.402,0.049,0.094,0.0
3,0.097,0.156,0.391,0.27,0.377,0.446,0.1,0.089,0.0
4,0.064,0.138,0.18,0.21,0.639,0.522,0.136,0.097,0.0
5,0.06,0.02,0.168,0.188,0.591,0.513,0.148,0.101,0.0
6,0.079,0.066,0.142,0.127,0.454,0.283,0.201,0.23,0.0
7,0.198,0.041,0.119,0.052,0.33,0.227,0.317,0.177,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
