,0,1,2,3,4,5,6,7,8
0,0.817,0.596,0.117,0.052,0.394,0.394,0.052,0.117,0.596
1,0.835,0.676,0.126,0.103,0.233,0.419,0.066,0.175,0.505
2,0.649,0.598,0.313,0.162,0.153,0.369,0.095,0.066,0.196
3,0.166,0.219,0.265,0.182,0.278,0.253,0.113,0.259,0.302
4,0.268,0.38,0.161,0.16,0.219,0.067,0.129,0.299,0.567
5,0.268,0.567,0.299,0.129,0.067,0.219,0.16,0.161,0.38
6,0.166,0.302,0.259,0.113,0.253,0.278,0.182,0.265,0.219
7,0.649,0.196,0.066,0.095,0.369,0.153,0.162,0.313,0.598
8,0.835,0.505,0.175,0.066,0.419,0.233,0.103,0.126,0.676
