,0,1,2,3,4,5,6,7,8
0,1.0,0.329,0.351,0.329,0.351,0.329,1.0,0.329,0.351
1,0.273,-0.1,-0.045,-0.047,-0.045,0.006,0.273,-0.1,-0.045
2,0.129,-0.138,-0.123,-0.125,-0.123,-0.111,0.129,-0.138,-0.123
3,0.183,-0.091,-0.095,-0.091,-0.095,-0.091,0.183,-0.091,-0.095
4,0.129,-0.111,-0.123,-0.125,-0.123,-0.138,0.129,-0.111,-0.123
5,0.273,0.006,-0.045,-0.047,-0.045,-0.1,0.273,0.006,-0.045
6,1.0,0.329,0.351,0.329,0.351,0.329,1.0,0.329,0.351
7,0.273,-0.1,-0.045,-0.047,-0.045,0.006,0.273,-0.1,-0.045
8,0.129,-0.138,-0.123,-0.125,-0.123,-0.111,0.129,-0.138,-0.123
