,0,1,2,3,4,5,6,7,8
0,0.584,0.387,0.344,0.191,0.455,0.455,0.191,0.344,0.387
1,0.43,0.417,0.551,0.214,0.244,0.555,0.474,0.057,0.216
2,0.214,0.255,0.582,0.337,0.188,0.423,0.445,0.248,0.115
3,0.284,0.124,0.388,0.159,0.135,0.331,0.484,0.395,0.079
4,0.226,0.181,0.083,0.467,0.27,0.382,0.639,0.296,0.121
5,0.226,0.121,0.296,0.639,0.382,0.27,0.467,0.083,0.181
6,0.284,0.079,0.395,0.484,0.331,0.135,0.159,0.388,0.124
7,0.214,0.115,0.248,0.445,0.423,0.188,0.337,0.582,0.255
8,0.43,0.216,0.057,0.474,0.555,0.244,0.214,0.551,0.417
