,0,1,2,3,4,5,6,7,8
0,0.931,0.407,0.212,0.475,0.284,0.284,0.475,0.212,0.407
1,0.741,0.383,0.148,0.601,0.469,0.225,0.201,0.316,0.236
2,0.34,0.213,0.398,0.483,0.334,0.444,0.08,0.192,0.073
3,0.11,0.169,0.391,0.263,0.343,0.484,0.152,0.179,0.09
4,0.075,0.155,0.186,0.206,0.576,0.566,0.197,0.186,0.024
5,0.075,0.024,0.186,0.197,0.566,0.576,0.206,0.186,0.155
6,0.11,0.09,0.179,0.152,0.484,0.343,0.263,0.391,0.169
7,0.34,0.073,0.192,0.08,0.444,0.334,0.483,0.398,0.213
8,0.741,0.236,0.316,0.201,0.225,0.469,0.601,0.148,0.383
