,0,1,2,3,4,5,6,7,8
0,0.888,0.285,0.212,0.376,0.556,0.556,0.376,0.212,0.285
1,0.641,0.386,0.374,0.285,0.348,0.675,0.377,0.299,0.334
2,0.101,0.415,0.343,0.163,0.159,0.641,0.277,0.262,0.305
3,0.348,0.332,0.082,0.115,0.25,0.423,0.114,0.04,0.153
4,0.5,0.315,0.292,0.118,0.265,0.19,0.044,0.309,0.248
5,0.5,0.248,0.309,0.044,0.19,0.265,0.118,0.292,0.315
6,0.348,0.153,0.04,0.114,0.423,0.25,0.115,0.082,0.332
7,0.101,0.305,0.262,0.277,0.641,0.159,0.163,0.343,0.415
8,0.641,0.334,0.299,0.377,0.675,0.348,0.285,0.374,0.386
