,0,1,2,3,4,5,6,7,8
0,1.0,0.632,0.103,0.044,0.35,0.31,0.03,0.064,0.0
1,0.975,0.699,0.109,0.086,0.2,0.327,0.04,0.1,0.0
2,0.705,0.593,0.269,0.131,0.127,0.277,0.059,0.038,0.0
3,0.167,0.206,0.222,0.147,0.231,0.188,0.076,0.166,0.0
4,0.261,0.34,0.125,0.12,0.171,0.048,0.085,0.184,0.0
5,0.252,0.485,0.224,0.093,0.052,0.154,0.098,0.088,0.0
6,0.14,0.225,0.184,0.082,0.198,0.187,0.111,0.152,0.0
7,0.429,0.099,0.032,0.052,0.219,0.072,0.076,0.146,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
