,0,1,2,3,4,5,6,7,8,9
0,0.455,0.382,0.216,0.187,0.303,0.509,0.303,0.187,0.216,0.382
1,0.39,0.404,0.345,0.087,0.22,0.399,0.303,0.386,0.28,0.271
2,0.234,0.322,0.447,0.285,0.097,0.2,0.3,0.406,0.314,0.194
3,0.081,0.308,0.413,0.322,0.207,0.205,0.258,0.272,0.202,0.106
4,0.032,0.352,0.308,0.235,0.255,0.18,0.128,0.115,0.079,0.078
5,0.045,0.274,0.193,0.126,0.152,0.022,0.152,0.126,0.193,0.274
6,0.032,0.078,0.079,0.115,0.128,0.18,0.255,0.235,0.308,0.352
7,0.081,0.106,0.202,0.272,0.258,0.205,0.207,0.322,0.413,0.308
8,0.234,0.194,0.314,0.406,0.3,0.2,0.097,0.285,0.447,0.322
9,0.39,0.271,0.28,0.386,0.303,0.399,0.22,0.087,0.345,0.404
