,0,1,2,3,4
0,1.0,0.069,0.302,0.069,0.302
1,0.312,-0.101,0.026,-0.069,0.026
2,0.206,-0.122,-0.016,-0.09,-0.016
3,0.153,-0.101,-0.037,-0.101,-0.037
4,0.206,-0.058,-0.016,-0.09,-0.016
5,0.312,-0.037,0.026,-0.069,0.026
6,1.0,0.069,0.302,0.069,0.302
7,0.312,-0.101,0.026,-0.069,0.026
8,0.206,-0.122,-0.016,-0.09,-0.016
