,0,1,2,3,4
0,1.0,14.01,1.822,1.294,0.0
1,3.56,14.605,4.853,1.839,0.0
2,2.974,7.5,3.938,2.044,0.0
3,0.449,0.44,0.418,0.331,0.0
4,2.75,3.662,3.407,2.744,0.0
5,2.28,2.525,2.945,2.353,0.0
6,0.292,0.278,0.29,0.252,0.0
7,2.061,1.263,2.225,2.851,0.0
8,0.0,0.0,0.0,0.0,0.0
