,0,1,2,3,4
0,0.066,0.879,0.163,0.163,0.879
1,0.245,0.984,0.423,0.227,0.462
2,0.244,0.616,0.373,0.258,0.156
3,0.044,0.044,0.044,0.044,0.044
4,0.237,0.321,0.314,0.319,0.27
5,0.237,0.27,0.319,0.314,0.321
6,0.044,0.044,0.044,0.044,0.044
7,0.244,0.156,0.258,0.373,0.616
8,0.245,0.462,0.227,0.423,0.984
